tourney_name,surface,tourney_date,round,player1_name,player1_country,player1_seed,player1_entry,player2_name,player2_country,player2_seed,player2_entry
Roland Garros,Clay,20250519,R128,Jannik Sinner,ITA,1,,Arthur Rinderknech,FRA,,
Roland Garros,Clay,20250519,R128,Terence Atmane,FRA,,WC,Richard Gasquet,FRA,,WC
Roland Garros,Clay,20250519,R128,Jiri Lehecka,CZE,,,Jordan Thompson,AUS,,
Roland Garros,Clay,20250519,R128,Pablo Llamas Ruiz,ESP,,Q,Alejandro Davidovich Fokina,ESP,26,
Roland Garros,Clay,20250519,R128,Andrey Rublev,RUS,17,,Lloyd Harris,RSA,,Q
Roland Garros,Clay,20250519,R128,Maximilian Marterer,GER,,Q,Adam Walton,AUS,,
Roland Garros,Clay,20250519,R128,Camilo Ugo Carabelli,ARG,,,Jaume Munar,ESP,,
Roland Garros,Clay,20250519,R128,Nicolas Jarry,CHI,,,Arthur Fils,FRA,14,
Roland Garros,Clay,20250519,R128,Alex De Minaur,AUS,9,,Laslo Djere,SRB,,
Roland Garros,Clay,20250519,R128,Alexander Bublik,KAZ,,,James Duckworth,AUS,,
Roland Garros,Clay,20250519,R128,Nikoloz Basilashvili,GEO,,Q,Henrique Rocha,POR,,Q
Roland Garros,Clay,20250519,R128,Alexandre Muller,FRA,,,Jakub Mensik,CZE,19,
Roland Garros,Clay,20250519,R128,Hubert Hurkacz,POL,30,,Joao Fonseca,BRA,,
Roland Garros,Clay,20250519,R128,Pierre Hugues Herbert,FRA,,WC,Benjamin Bonzi,FRA,,
Roland Garros,Clay,20250519,R128,Gael Monfils,FRA,,,Hugo Dellien,BOL,,
Roland Garros,Clay,20250519,R128,Mattia Bellucci,ITA,,,Jack Draper,GBR,5,
Roland Garros,Clay,20250519,R128,Alexander Zverev,GER,3,,Learner Tien,USA,,
Roland Garros,Clay,20250519,R128,Jesper De Jong,NED,,,Francesco Passaro,ITA,,
Roland Garros,Clay,20250519,R128,Marin Cilic,CRO,,LL,Flavio Cobolli,ITA,,
Roland Garros,Clay,20250519,R128,Matteo Arnaldi,ITA,,,Felix Auger Aliassime,CAN,29,
Roland Garros,Clay,20250519,R128,Francisco Cerundolo,ARG,18,,Gabriel Diallo,CAN,,
Roland Garros,Clay,20250519,R128,Marcos Giron,USA,,,Tallon Griekspoor,NED,,
Roland Garros,Clay,20250519,R128,Alexander Shevchenko,KAZ,,LL,Dusan Lajovic,SRB,,
Roland Garros,Clay,20250519,R128,Ethan Quinn,USA,,Q,Grigor Dimitrov,BUL,16,
Roland Garros,Clay,20250519,R128,Daniil Medvedev,RUS,11,,Cameron Norrie,GBR,,
Roland Garros,Clay,20250519,R128,Aleksandar Kovacevic,USA,,,Federico Gomez,ARG,,
Roland Garros,Clay,20250519,R128,Jacob Fearnley,GBR,, ,Stan Wawrinka,SUI,,WC
Roland Garros,Clay,20250519,R128,Christopher Oconnell,AUS,,,Ugo Humbert,FRA,22,
Roland Garros,Clay,20250519,R128,Denis Shapovalov,CAN,27,,Pedro Martinez,ESP,,
Roland Garros,Clay,20250519,R128,Filip Misolic,AUT,,Q,Bu Yunchaokete,CHN,,
Roland Garros,Clay,20250519,R128,Corentin Moutet,FRA,,,Clement Tabur,FRA,,Q
Roland Garros,Clay,20250519,R128,Mackenzie McDonald,USA,,,Novak Djokovic,SRB,6,
Roland Garros,Clay,20250519,R128,Lorenzo Musetti,ITA,8,,Yannick Hanfmann,GER,,Q
Roland Garros,Clay,20250519,R128,Valentin Royer,FRA,,WC,Daniel Elahi Galan,COL,,
Roland Garros,Clay,20250519,R128,Reilly Opelka,USA,,,Rinky Hijikata,AUS,,
Roland Garros,Clay,20250519,R128,Mariano Navone,ARG,,,Brandon Nakashima,USA,28,
